user_id,feedback_type,severity,sentiment,feature_area,resolved,created_date
1860,AI Accuracy,Low,Neutral,Meal Recommendation AI,1,2026-01-04
4772,UX Issue,High,Neutral,Meal Recommendation AI,1,2025-08-11
4092,AI Accuracy,High,Neutral,Grocery List AI,0,2025-08-23
1466,UX Issue,Medium,Positive,Grocery List AI,0,2026-01-08
5426,Feature Request,High,Negative,Meal Recommendation AI,0,2025-11-23
4444,AI Accuracy,Low,Negative,Scheduling AI,0,2025-11-16
4171,Feature Request,Medium,Positive,Scheduling AI,1,2026-01-14
3919,Feature Request,Low,Positive,Meal Recommendation AI,1,2025-08-18
1130,Bug,Low,Positive,Meal Recommendation AI,0,2025-08-25
2685,AI Accuracy,Medium,Positive,Grocery List AI,0,2025-11-01
1769,UX Issue,High,Negative,Grocery List AI,0,2025-10-06
3391,AI Accuracy,Low,Negative,Scheduling AI,1,2025-10-05
3433,Bug,Low,Positive,Meal Recommendation AI,1,2025-12-15
2184,Bug,Low,Positive,Grocery List AI,1,2025-08-25
5555,UX Issue,Low,Negative,Scheduling AI,0,2025-09-02
4385,Feature Request,High,Negative,Scheduling AI,0,2025-11-19
5117,UX Issue,Medium,Neutral,Scheduling AI,1,2025-08-25
5843,UX Issue,Medium,Neutral,Grocery List AI,1,2025-11-27
3904,AI Accuracy,High,Negative,Grocery List AI,0,2025-09-21
1474,Feature Request,Low,Neutral,Meal Recommendation AI,1,2026-01-15
2082,AI Accuracy,Medium,Positive,Meal Recommendation AI,0,2025-12-03
3558,Feature Request,Medium,Negative,Scheduling AI,1,2025-11-21
3047,Feature Request,Medium,Negative,Scheduling AI,1,2025-12-06
3747,Feature Request,High,Negative,Grocery List AI,1,2025-11-02
1975,AI Accuracy,High,Negative,Grocery List AI,0,2025-12-27
2806,AI Accuracy,Low,Negative,Meal Recommendation AI,0,2026-02-01
1189,AI Accuracy,High,Positive,Meal Recommendation AI,1,2026-01-05
3734,UX Issue,Low,Neutral,Meal Recommendation AI,1,2025-09-03
4005,AI Accuracy,Low,Positive,Grocery List AI,1,2025-09-05
5658,Bug,Low,Positive,Scheduling AI,1,2025-11-28
2899,UX Issue,Low,Negative,Meal Recommendation AI,0,2025-11-27
2267,AI Accuracy,Medium,Negative,Meal Recommendation AI,1,2026-01-31
2528,UX Issue,Medium,Negative,Grocery List AI,1,2025-10-13
4202,UX Issue,High,Negative,Meal Recommendation AI,0,2025-11-06
4556,UX Issue,Medium,Positive,Scheduling AI,1,2026-01-28
4890,UX Issue,Medium,Positive,Grocery List AI,0,2026-01-27
1646,Bug,Low,Negative,Meal Recommendation AI,0,2026-01-21
3888,UX Issue,Low,Negative,Meal Recommendation AI,0,2025-10-23
3435,Bug,Medium,Negative,Grocery List AI,1,2026-01-29
